state,year,area,production,yield,crop
Bihar,2007,3497.0,3856.0,1.1,bajra
Bihar,2008,2960.0,3547.0,1.2,bajra
Bihar,2009,2951.0,3279.0,1.11,bajra
Bihar,2010,4851.0,5424.0,1.12,bajra
Bihar,2011,4457.0,5014.0,1.12,bajra
Bihar,2012,4244.0,4838.0,1.14,bajra
Bihar,2013,2638.0,3001.0,1.14,bajra
Bihar,2014,3288.0,3729.0,1.13,bajra
Bihar,2015,4095.0,4639.0,1.13,bajra
Bihar,2016,3564.0,4045.0,1.13,bajra
Bihar,2017,4379.0,4966.0,1.13,bajra
Bihar,2018,3109.0,3525.0,1.13,bajra
Bihar,2019,3159.0,3582.0,1.13,bajra
Bihar,2020,4219.0,4785.0,1.13,bajra
Bihar,2021,2889.0,3293.0,1.14,bajra
Bihar,2022,2352.0,2681.0,1.14,bajra
Chhattisgarh,2000,78.0,31.0,0.4,bajra
Chhattisgarh,2001,80.0,36.0,0.45,bajra
Chhattisgarh,2002,66.0,26.0,0.39,bajra
Chhattisgarh,2003,47.0,19.0,0.4,bajra
Chhattisgarh,2004,49.0,17.0,0.35,bajra
Chhattisgarh,2005,81.0,31.0,0.38,bajra
Chhattisgarh,2006,71.0,34.0,0.48,bajra
Chhattisgarh,2007,68.0,31.0,0.46,bajra
Chhattisgarh,2008,121.0,48.0,0.4,bajra
Chhattisgarh,2009,70.0,20.0,0.29,bajra
Chhattisgarh,2010,76.0,37.0,0.49,bajra
Chhattisgarh,2011,62.0,29.0,0.47,bajra
Chhattisgarh,2012,373.0,158.0,0.42,bajra
Chhattisgarh,2013,176.0,125.0,0.71,bajra
Chhattisgarh,2014,146.0,91.0,0.62,bajra
Chhattisgarh,2015,50.0,17.0,0.34,bajra
Chhattisgarh,2016,90.0,50.0,0.56,bajra
Chhattisgarh,2017,63.0,25.0,0.4,bajra
Chhattisgarh,2018,44.0,26.0,0.59,bajra
Chhattisgarh,2019,96.0,50.0,0.52,bajra
Chhattisgarh,2020,94.0,53.0,0.56,bajra
Chhattisgarh,2021,105.0,53.0,0.5,bajra
Chhattisgarh,2022,106.0,62.0,0.58,bajra
Daman and Diu,2013,300.0,400.0,1.33,bajra
Daman and Diu,2014,300.0,500.0,1.67,bajra
Daman and Diu,2015,668.0,900.0,1.35,bajra
Daman and Diu,2016,508.0,677.0,1.33,bajra
Daman and Diu,2017,434.0,579.0,1.33,bajra
Daman and Diu,2018,496.0,648.0,1.31,bajra
Daman and Diu,2019,496.0,648.0,1.31,bajra
Delhi,2008,1549.0,2943.0,1.9,bajra
Delhi,2009,1586.0,2979.0,1.88,bajra
Delhi,2010,1531.0,2876.0,1.88,bajra
Delhi,2011,1439.0,2689.0,1.87,bajra
Delhi,2012,1519.0,3815.0,2.51,bajra
Delhi,2013,1519.0,3815.0,2.51,bajra
Delhi,2014,1520.0,3817.0,2.51,bajra
Delhi,2015,1482.0,3256.0,2.2,bajra
Delhi,2016,1487.0,3278.0,2.2,bajra
Delhi,2017,1502.0,3256.0,2.17,bajra
Delhi,2018,1478.0,3249.0,2.2,bajra
Delhi,2019,1475.0,4873.0,3.3,bajra
Gujarat,1997,1095600.0,1494900.0,1.36,bajra
Gujarat,1998,1037600.0,1280500.0,1.23,bajra
Gujarat,1999,926200.0,850600.0,0.92,bajra
Gujarat,2000,989200.0,823100.0,0.83,bajra
Gujarat,2001,939800.0,1262300.0,1.34,bajra
Gujarat,2002,940200.0,907000.0,0.96,bajra
Gujarat,2003,1071200.0,1599800.0,1.49,bajra
Gujarat,2004,915100.0,1089000.0,1.19,bajra
Gujarat,2005,946000.0,1205800.0,1.27,bajra
Gujarat,2006,925700.0,956900.0,1.03,bajra
Gujarat,2007,921600.0,1306600.0,1.42,bajra
Gujarat,2008,703300.0,961300.0,1.37,bajra
Gujarat,2009,673000.0,828800.0,1.23,bajra
Gujarat,2010,872400.0,1500900.0,1.72,bajra
Gujarat,2011,866300.0,1612000.0,1.86,bajra
Gujarat,2012,599400.0,1044900.0,1.74,bajra
Gujarat,2013,672115.0,1360161.0,2.02,bajra
Gujarat,2014,453016.0,1010128.0,2.23,bajra
Gujarat,2015,391168.0,885916.0,2.26,bajra
Gujarat,2016,431371.0,911633.0,2.11,bajra
Gujarat,2017,397152.0,964917.0,2.43,bajra
Gujarat,2018,391575.0,892622.0,2.28,bajra
Gujarat,2019,449831.0,1090962.0,2.43,bajra
Gujarat,2020,460260.0,1049841.0,2.28,bajra
Gujarat,2021,445212.0,1087517.0,2.44,bajra
Gujarat,2022,501965.0,1270886.0,2.53,bajra
Haryana,1997,584000.0,674000.0,1.15,bajra
Haryana,1998,613174.0,618800.0,1.01,bajra
Haryana,1999,586877.0,582000.0,0.99,bajra
Haryana,2000,608321.0,656000.0,1.08,bajra
Haryana,2001,585474.0,832000.0,1.42,bajra
Haryana,2002,513720.0,458000.0,0.89,bajra
Haryana,2003,624513.0,886300.0,1.42,bajra
Haryana,2004,565313.0,746000.0,1.32,bajra
Haryana,2005,631660.0,706000.0,1.12,bajra
Haryana,2006,618985.0,1021000.0,1.65,bajra
Haryana,2007,627983.0,1156000.0,1.84,bajra
Haryana,2008,612934.0,1087000.0,1.77,bajra
Haryana,2009,583809.0,930000.0,1.59,bajra
Haryana,2010,659592.0,1183000.0,1.79,bajra
Haryana,2011,576167.0,1175000.0,2.04,bajra
Haryana,2012,410731.0,791000.0,1.93,bajra
Haryana,2013,403000.0,829000.0,2.06,bajra
Haryana,2014,393000.0,683000.0,1.74,bajra
Haryana,2015,370000.0,653000.0,1.76,bajra
Haryana,2016,464300.0,934000.0,2.01,bajra
Haryana,2017,449400.0,720300.0,1.6,bajra
Haryana,2018,424700.0,878300.0,2.07,bajra
Haryana,2019,492900.0,1101500.0,2.23,bajra
Haryana,2020,594130.0,1417860.0,2.39,bajra
Haryana,2021,493131.0,1143840.0,2.32,bajra
Haryana,2022,526260.0,1323360.0,2.51,bajra
Himachal Pradesh,1998,469.0,266.0,0.57,bajra
Himachal Pradesh,2000,116.0,41.0,0.35,bajra
Himachal Pradesh,2001,110.0,57.0,0.52,bajra
Himachal Pradesh,2002,102.0,57.0,0.56,bajra
Himachal Pradesh,2003,312.0,173.0,0.55,bajra
Himachal Pradesh,2004,281.0,150.0,0.53,bajra
Himachal Pradesh,2005,304.0,144.0,0.47,bajra
Himachal Pradesh,2006,360.0,181.0,0.5,bajra
Himachal Pradesh,2008,203.0,113.0,0.56,bajra
Himachal Pradesh,2009,213.0,106.0,0.5,bajra
Himachal Pradesh,2010,201.0,107.0,0.53,bajra
Himachal Pradesh,2011,223.0,122.0,0.55,bajra
Himachal Pradesh,2012,2435.0,1236.0,0.51,bajra
Himachal Pradesh,2013,731.0,400.0,0.55,bajra
Himachal Pradesh,2014,657.0,342.0,0.52,bajra
Himachal Pradesh,2015,79.0,46.0,0.58,bajra
Himachal Pradesh,2016,157.0,77.0,0.49,bajra
Himachal Pradesh,2017,79.0,58.0,0.73,bajra
Himachal Pradesh,2018,88.0,64.0,0.73,bajra
Himachal Pradesh,2019,107.0,109.0,1.02,bajra
Himachal Pradesh,2020,523.0,1092.0,2.09,bajra
Himachal Pradesh,2021,568.0,291.0,0.51,bajra
Himachal Pradesh,2022,539.0,274.0,0.51,bajra
Jammu and Kashmir,1999,13357.0,6397.0,0.48,bajra
Jammu and Kashmir,2000,13340.0,6188.0,0.46,bajra
Jammu and Kashmir,2001,13571.0,8056.0,0.59,bajra
Jammu and Kashmir,2002,13400.0,7980.0,0.6,bajra
Jammu and Kashmir,2003,16696.0,9978.0,0.6,bajra
Jammu and Kashmir,2004,16045.0,9560.0,0.6,bajra
Jammu and Kashmir,2005,13008.0,7779.0,0.6,bajra
Jammu and Kashmir,2006,20775.0,12279.0,0.59,bajra
Jammu and Kashmir,2007,16816.0,9984.0,0.59,bajra
Jammu and Kashmir,2009,17402.0,10387.0,0.6,bajra
Jammu and Kashmir,2010,16544.0,9880.0,0.6,bajra
Jammu and Kashmir,2011,18926.0,11192.0,0.59,bajra
Jammu and Kashmir,2012,19538.0,11692.0,0.6,bajra
Jammu and Kashmir,2014,15797.0,9394.0,0.59,bajra
Jammu and Kashmir,2015,9084.0,5360.0,0.59,bajra
Jammu and Kashmir,2016,13869.0,8208.0,0.59,bajra
Jammu and Kashmir,2017,12615.0,7445.0,0.59,bajra
Jammu and Kashmir,2018,24358.0,13583.0,0.56,bajra
Jammu and Kashmir,2019,9779.0,5816.0,0.59,bajra
Jammu and Kashmir,2020,13142.0,7777.0,0.59,bajra
Jammu and Kashmir,2021,12.0,3.0,0.23,bajra
Jammu and Kashmir,2022,263.0,45.0,0.17,bajra
Jharkhand,1997,4041.0,2499.0,0.62,bajra
Jharkhand,1998,3474.0,2079.0,0.6,bajra
Jharkhand,2017,614.0,354.0,0.58,bajra
Jharkhand,2018,130.0,75.0,0.58,bajra
Jharkhand,2019,288.0,206.0,0.72,bajra
Jharkhand,2020,127.0,83.0,0.65,bajra
Jharkhand,2021,141.0,88.0,0.62,bajra
Jharkhand,2022,235.0,135.0,0.57,bajra
Karnataka,1997,301969.0,132718.0,0.44,bajra
Karnataka,1998,417113.0,283265.0,0.68,bajra
Karnataka,1999,421185.0,251109.0,0.6,bajra
Karnataka,2000,462121.0,341625.0,0.74,bajra
Karnataka,2001,209505.0,112241.0,0.54,bajra
Karnataka,2002,304581.0,120071.0,0.39,bajra
Karnataka,2003,318745.0,191455.0,0.6,bajra
Karnataka,2004,444702.0,266108.0,0.6,bajra
Karnataka,2005,430884.0,390613.0,0.91,bajra
Karnataka,2006,387736.0,163361.0,0.42,bajra
Karnataka,2007,431855.0,334875.0,0.78,bajra
Karnataka,2008,265608.0,181089.0,0.68,bajra
Karnataka,2009,305107.0,131046.0,0.43,bajra
Karnataka,2010,309227.0,292200.0,0.94,bajra
Karnataka,2011,286244.0,260625.0,0.91,bajra
Karnataka,2012,274615.0,285157.0,1.04,bajra
Karnataka,2013,280471.0,330923.0,1.18,bajra
Karnataka,2014,234289.0,248601.0,1.06,bajra
Karnataka,2015,166334.0,110736.0,0.67,bajra
Karnataka,2016,242327.0,255655.0,1.06,bajra
Karnataka,2017,231550.0,367253.0,1.59,bajra
Karnataka,2018,194428.0,176902.0,0.91,bajra
Karnataka,2019,338952.0,367056.0,1.08,bajra
Karnataka,2020,221755.0,316264.0,1.43,bajra
Karnataka,2021,147988.0,171346.0,1.16,bajra
Karnataka,2022,128471.0,182562.0,1.42,bajra
Kerala,2022,8.0,12.0,1.5,bajra
Madhya Pradesh,1997,141400.0,154100.0,1.09,bajra
Madhya Pradesh,1998,145600.0,172300.0,1.18,bajra
Madhya Pradesh,1999,137668.0,138796.0,1.01,bajra
Madhya Pradesh,2000,164003.0,204348.0,1.25,bajra
Madhya Pradesh,2001,161727.0,204585.0,1.27,bajra
Madhya Pradesh,2002,167581.0,124680.0,0.74,bajra
Madhya Pradesh,2003,201165.0,281430.0,1.4,bajra
Madhya Pradesh,2004,184058.0,248478.0,1.35,bajra
Madhya Pradesh,2005,182506.0,271934.0,1.49,bajra
Madhya Pradesh,2006,183115.0,251783.0,1.37,bajra
Madhya Pradesh,2007,200929.0,275675.0,1.37,bajra
Madhya Pradesh,2008,187954.0,260504.0,1.39,bajra
Madhya Pradesh,2009,197914.0,293506.0,1.48,bajra
Madhya Pradesh,2010,200498.0,384154.0,1.92,bajra
Madhya Pradesh,2011,199984.0,388169.0,1.94,bajra
Madhya Pradesh,2012,193037.0,388390.0,2.01,bajra
Madhya Pradesh,2013,191328.0,401597.0,2.1,bajra
Madhya Pradesh,2014,225000.0,428000.0,1.9,bajra
Madhya Pradesh,2015,269000.0,617000.0,2.29,bajra
Madhya Pradesh,2016,279000.0,776000.0,2.78,bajra
Madhya Pradesh,2017,309940.0,754740.0,2.44,bajra
Madhya Pradesh,2018,327080.0,628340.0,1.92,bajra
Madhya Pradesh,2019,339656.0,785624.0,2.31,bajra
Madhya Pradesh,2020,374203.0,909012.0,2.43,bajra
Madhya Pradesh,2021,342885.0,868665.0,2.53,bajra
Madhya Pradesh,2022,363043.0,1000041.0,2.75,bajra
Maharashtra,1997,1671200.0,1119000.0,0.67,bajra
Maharashtra,1998,1759700.0,1492500.0,0.85,bajra
Maharashtra,1999,1720700.0,1126300.0,0.65,bajra
Maharashtra,2000,1800000.0,1087200.0,0.6,bajra
Maharashtra,2001,1399200.0,830800.0,0.59,bajra
Maharashtra,2002,1547200.0,1146000.0,0.74,bajra
Maharashtra,2003,1325400.0,896300.0,0.68,bajra
Maharashtra,2004,1528900.0,1126300.0,0.74,bajra
Maharashtra,2005,1433800.0,932000.0,0.65,bajra
Maharashtra,2006,1452200.0,1058600.0,0.73,bajra
Maharashtra,2007,1283000.0,1126900.0,0.88,bajra
Maharashtra,2008,865400.0,661900.0,0.76,bajra
Maharashtra,2009,1033500.0,766300.0,0.74,bajra
Maharashtra,2010,1034600.0,1123500.0,1.09,bajra
Maharashtra,2011,838200.0,823300.0,0.98,bajra
Maharashtra,2012,788200.0,502400.0,0.64,bajra
Maharashtra,2013,761600.0,787900.0,1.03,bajra
Maharashtra,2014,864800.0,537900.0,0.62,bajra
Maharashtra,2015,800600.0,332900.0,0.42,bajra
Maharashtra,2016,837081.0,799743.0,0.96,bajra
Maharashtra,2017,787833.0,669176.0,0.85,bajra
Maharashtra,2018,609587.0,332231.0,0.55,bajra
Maharashtra,2019,672783.0,512321.0,0.76,bajra
Maharashtra,2020,687497.0,905623.0,1.32,bajra
Maharashtra,2021,666717.0,618582.0,0.93,bajra
Maharashtra,2022,538982.0,578920.0,1.07,bajra
Nagaland,1997,990.0,700.0,0.71,bajra
Nagaland,1999,1500.0,1250.0,0.83,bajra
Nagaland,2000,1500.0,1250.0,0.83,bajra
Nagaland,2001,1500.0,1000.0,0.67,bajra
Nagaland,2002,2000.0,4000.0,2.0,bajra
Nagaland,2003,3000.0,5000.0,1.67,bajra
Nagaland,2004,2680.0,4000.0,1.49,bajra
Nagaland,2005,3050.0,3130.0,1.03,bajra
Nagaland,2009,1000.0,690.0,0.69,bajra
Nagaland,2010,650.0,560.0,0.86,bajra
Nagaland,2011,650.0,560.0,0.86,bajra
Nagaland,2012,680.0,690.0,1.01,bajra
Nagaland,2013,690.0,700.0,1.01,bajra
Nagaland,2014,690.0,700.0,1.01,bajra
Nagaland,2015,690.0,700.0,1.01,bajra
Nagaland,2016,690.0,700.0,1.01,bajra
Nagaland,2017,700.0,710.0,1.01,bajra
Nagaland,2018,710.0,720.0,1.01,bajra
Nagaland,2019,710.0,720.0,1.01,bajra
Nagaland,2020,710.0,720.0,1.01,bajra
Nagaland,2021,650.0,489.0,0.75,bajra
Nagaland,2022,786.0,880.0,1.12,bajra
Odisha,1999,4010.0,2350.0,0.59,bajra
Odisha,2000,4120.0,2350.0,0.57,bajra
Odisha,2001,4010.0,2270.0,0.57,bajra
Odisha,2002,3760.0,1820.0,0.48,bajra
Odisha,2003,3270.0,1720.0,0.53,bajra
Odisha,2004,3155.0,1609.0,0.51,bajra
Odisha,2019,1870.0,1160.0,0.62,bajra
Puducherry,1998,149.0,324.0,2.17,bajra
Puducherry,1999,170.0,470.0,2.76,bajra
Puducherry,2000,186.0,513.0,2.76,bajra
Puducherry,2001,162.0,345.0,2.13,bajra
Puducherry,2002,207.0,397.0,1.92,bajra
Puducherry,2003,197.0,383.0,1.94,bajra
Puducherry,2007,64.0,133.0,2.08,bajra
Puducherry,2008,55.0,100.0,1.82,bajra
Puducherry,2009,60.0,111.0,1.85,bajra
Puducherry,2010,34.0,79.0,2.32,bajra
Puducherry,2011,31.0,80.0,2.58,bajra
Puducherry,2012,21.0,63.0,3.0,bajra
Puducherry,2013,12.0,31.0,2.58,bajra
Puducherry,2014,6.0,11.0,1.83,bajra
Puducherry,2015,7.0,17.0,2.43,bajra
Puducherry,2016,16.0,21.0,1.31,bajra
Puducherry,2017,14.0,39.0,2.79,bajra
Puducherry,2018,11.0,28.0,2.55,bajra
Puducherry,2019,22.0,57.0,2.59,bajra
Puducherry,2020,9.0,24.0,2.67,bajra
Puducherry,2021,14.0,37.0,2.64,bajra
Puducherry,2022,30.0,78.0,2.6,bajra
Punjab,1997,8000.0,8000.0,1.0,bajra
Punjab,1998,4000.0,4000.0,1.0,bajra
Punjab,1999,5000.0,4000.0,0.8,bajra
Punjab,2000,6000.0,5000.0,0.83,bajra
Punjab,2002,7000.0,6000.0,0.86,bajra
Punjab,2003,8000.0,8000.0,1.0,bajra
Punjab,2004,7000.0,7000.0,1.0,bajra
Punjab,2005,5000.0,5000.0,1.0,bajra
Punjab,2006,6000.0,6000.0,1.0,bajra
Punjab,2007,4000.0,4000.0,1.0,bajra
Punjab,2008,5000.0,5000.0,1.0,bajra
Punjab,2009,3000.0,4000.0,1.33,bajra
Punjab,2010,3000.0,3000.0,1.0,bajra
Punjab,2011,3000.0,3000.0,1.0,bajra
Punjab,2012,3000.0,3000.0,1.0,bajra
Punjab,2013,800.0,800.0,1.0,bajra
Punjab,2016,1200.0,700.0,0.58,bajra
Punjab,2017,1000.0,600.0,0.6,bajra
Punjab,2018,1100.0,700.0,0.64,bajra
Punjab,2019,500.0,300.0,0.6,bajra
Punjab,2020,400.0,300.0,0.75,bajra
Punjab,2021,2300.0,1500.0,0.65,bajra
Punjab,2022,600.0,400.0,0.67,bajra
Rajasthan,1997,4600000.0,2509800.0,0.55,bajra
Rajasthan,1998,4183532.0,1800328.0,0.43,bajra
Rajasthan,1999,3945217.0,1300764.0,0.33,bajra
Rajasthan,2000,4636922.0,2046659.0,0.44,bajra
Rajasthan,2001,5129949.0,3819783.0,0.74,bajra
Rajasthan,2002,3215390.0,717945.0,0.22,bajra
Rajasthan,2003,5868008.0,6669825.0,1.14,bajra
Rajasthan,2004,4587712.0,3011054.0,0.66,bajra
Rajasthan,2005,4993678.0,2168332.0,0.43,bajra
Rajasthan,2006,4910409.0,3440400.0,0.7,bajra
Rajasthan,2007,5108580.0,4240852.0,0.83,bajra
Rajasthan,2008,5206162.0,4293938.0,0.82,bajra
Rajasthan,2009,5223564.0,2034875.0,0.39,bajra
Rajasthan,2010,5519448.0,6117800.0,1.11,bajra
Rajasthan,2011,5027993.0,6301761.0,1.25,bajra
Rajasthan,2012,3988912.0,3870673.0,0.97,bajra
Rajasthan,2013,4446951.0,4135030.0,0.93,bajra
Rajasthan,2014,4108156.0,4464964.0,1.09,bajra
Rajasthan,2015,4076396.0,3220848.0,0.79,bajra
Rajasthan,2016,4177735.0,4163942.0,1.0,bajra
Rajasthan,2017,4264301.0,3756813.0,0.88,bajra
Rajasthan,2018,4239143.0,3779431.0,0.89,bajra
Rajasthan,2019,4287169.0,5086651.0,1.19,bajra
Rajasthan,2020,4350273.0,5803601.0,1.33,bajra
Rajasthan,2021,4329599.0,4313777.0,1.0,bajra
Rajasthan,2022,4571013.0,5918718.0,1.29,bajra
Tamil Nadu,1997,168594.0,211970.0,1.26,bajra
Tamil Nadu,1998,196002.0,309644.0,1.58,bajra
Tamil Nadu,1999,177406.0,258774.0,1.46,bajra
Tamil Nadu,2000,199655.0,303245.0,1.52,bajra
Tamil Nadu,2001,125093.0,152971.0,1.22,bajra
Tamil Nadu,2002,102020.0,88682.0,0.87,bajra
Tamil Nadu,2003,158851.0,172342.0,1.08,bajra
Tamil Nadu,2004,97608.0,124300.0,1.27,bajra
Tamil Nadu,2005,81925.0,94799.0,1.16,bajra
Tamil Nadu,2006,65512.0,98969.0,1.51,bajra
Tamil Nadu,2007,59798.0,85840.0,1.44,bajra
Tamil Nadu,2008,56672.0,84021.0,1.48,bajra
Tamil Nadu,2009,54427.0,82652.0,1.52,bajra
Tamil Nadu,2011,46664.0,114447.0,2.45,bajra
Tamil Nadu,2013,54412.0,117436.0,2.16,bajra
Tamil Nadu,2014,57708.0,177570.0,3.08,bajra
Tamil Nadu,2015,51606.0,134331.0,2.6,bajra
Tamil Nadu,2016,49673.0,102250.0,2.06,bajra
Tamil Nadu,2017,63029.0,143548.0,2.28,bajra
Tamil Nadu,2018,46882.0,118010.0,2.52,bajra
Tamil Nadu,2019,67492.0,185083.0,2.74,bajra
Tamil Nadu,2020,67408.0,158887.0,2.36,bajra
Tamil Nadu,2021,59956.0,146126.0,2.44,bajra
Tamil Nadu,2022,45088.0,113354.0,2.51,bajra
Telangana,1997,30100.0,11300.0,0.38,bajra
Telangana,1998,43800.0,20500.0,0.47,bajra
Telangana,1999,44607.0,26090.0,0.58,bajra
Telangana,2000,45381.0,27228.0,0.6,bajra
Telangana,2001,36357.0,16968.0,0.47,bajra
Telangana,2002,34329.0,16258.0,0.47,bajra
Telangana,2003,43256.0,26413.0,0.61,bajra
Telangana,2004,27582.0,8700.0,0.32,bajra
Telangana,2005,26524.0,16810.0,0.63,bajra
Telangana,2006,20162.0,7120.0,0.35,bajra
Telangana,2007,24000.0,15000.0,0.63,bajra
Telangana,2008,21853.0,13853.0,0.63,bajra
Telangana,2009,16745.0,8106.0,0.48,bajra
Telangana,2010,19114.0,13856.0,0.72,bajra
Telangana,2011,11343.0,7100.0,0.63,bajra
Telangana,2012,9000.0,12000.0,1.33,bajra
Telangana,2013,13218.0,12452.0,0.94,bajra
Telangana,2014,11218.0,10510.0,0.94,bajra
Telangana,2015,5900.0,5534.0,0.94,bajra
Telangana,2016,16697.0,14514.0,0.87,bajra
Telangana,2017,8762.0,9259.0,1.06,bajra
Telangana,2018,7978.0,3964.0,0.5,bajra
Telangana,2019,9079.0,10516.0,1.16,bajra
Telangana,2020,10011.0,9309.0,0.93,bajra
Telangana,2021,4455.0,4554.0,1.02,bajra
Telangana,2022,3127.0,9232.0,2.95,bajra
The Dadra & Nagar Haveli and Daman and Diu,2021,496.0,759.0,1.53,bajra
The Dadra & Nagar Haveli and Daman and Diu,2022,496.0,753.0,1.52,bajra
Uttar Pradesh,1997,864211.0,1252787.0,1.45,bajra
Uttar Pradesh,1998,842775.0,979324.0,1.16,bajra
Uttar Pradesh,1999,835000.0,1165220.0,1.4,bajra
Uttar Pradesh,2000,881010.0,1277360.0,1.45,bajra
Uttar Pradesh,2001,850727.0,967732.0,1.14,bajra
Uttar Pradesh,2002,831306.0,1072525.0,1.29,bajra
Uttar Pradesh,2003,924202.0,1188103.0,1.29,bajra
Uttar Pradesh,2004,878399.0,1335462.0,1.52,bajra
Uttar Pradesh,2005,869288.0,1246252.0,1.43,bajra
Uttar Pradesh,2006,883877.0,1285887.0,1.45,bajra
Uttar Pradesh,2007,876979.0,1336355.0,1.52,bajra
Uttar Pradesh,2008,809300.0,1302073.0,1.61,bajra
Uttar Pradesh,2009,848617.0,1388711.0,1.64,bajra
Uttar Pradesh,2010,935272.0,1556891.0,1.66,bajra
Uttar Pradesh,2011,887967.0,1632879.0,1.84,bajra
Uttar Pradesh,2012,900540.0,1757776.0,1.95,bajra
Uttar Pradesh,2013,918984.0,1868189.0,2.03,bajra
Uttar Pradesh,2014,951724.0,1808081.0,1.9,bajra
Uttar Pradesh,2015,974881.0,1775698.0,1.82,bajra
Uttar Pradesh,2016,907173.0,1736339.0,1.91,bajra
Uttar Pradesh,2017,925397.0,1795148.0,1.94,bajra
Uttar Pradesh,2018,876724.0,1779291.0,2.03,bajra
Uttar Pradesh,2019,917090.0,1939329.0,2.11,bajra
Uttar Pradesh,2020,907406.0,2119958.0,2.34,bajra
Uttar Pradesh,2021,945690.0,2038868.0,2.16,bajra
Uttar Pradesh,2022,947023.0,2045552.0,2.16,bajra
Uttarakhand,1997,17.0,24.0,1.41,bajra
Uttarakhand,1998,20.0,23.0,1.15,bajra
Uttarakhand,1999,19.0,27.0,1.42,bajra
Uttarakhand,2000,11.0,15.0,1.36,bajra
Uttarakhand,2001,44.0,57.0,1.3,bajra
Uttarakhand,2002,4.0,5.0,1.25,bajra
Uttarakhand,2003,3.0,3.0,1.0,bajra
Uttarakhand,2006,11.0,13.0,1.18,bajra
Uttarakhand,2007,42.0,40.0,0.95,bajra
Uttarakhand,2008,20.0,19.0,0.95,bajra
Uttarakhand,2009,1.0,1.0,1.0,bajra
Uttarakhand,2012,1.0,1.0,1.0,bajra
Uttarakhand,2013,1.0,1.0,1.0,bajra
Uttarakhand,2014,2.0,2.0,1.0,bajra
Uttarakhand,2015,2.0,2.0,1.0,bajra
Uttarakhand,2021,11.0,11.0,1.0,bajra
West Bengal,1997,207.0,95.0,0.46,bajra
West Bengal,1998,175.0,84.0,0.48,bajra
West Bengal,1999,146.0,96.0,0.66,bajra
West Bengal,2000,313.0,256.0,0.82,bajra
West Bengal,2001,425.0,322.0,0.76,bajra
West Bengal,2002,332.0,252.0,0.76,bajra
West Bengal,2003,258.0,179.0,0.69,bajra
West Bengal,2004,129.0,45.0,0.35,bajra
West Bengal,2005,55.0,19.0,0.35,bajra
West Bengal,2006,79.0,31.0,0.39,bajra
West Bengal,2007,64.0,23.0,0.36,bajra
West Bengal,2008,75.0,26.0,0.35,bajra
West Bengal,2009,53.0,23.0,0.43,bajra
West Bengal,2010,64.0,24.0,0.38,bajra
West Bengal,2011,59.0,22.0,0.37,bajra
West Bengal,2012,60.0,25.0,0.42,bajra
West Bengal,2013,144.0,42.0,0.29,bajra
West Bengal,2014,164.0,48.0,0.29,bajra
West Bengal,2015,166.0,49.0,0.3,bajra
West Bengal,2016,167.0,49.0,0.29,bajra
West Bengal,2017,30.0,12.0,0.4,bajra
West Bengal,2018,71.0,29.0,0.41,bajra
West Bengal,2019,68.0,27.0,0.4,bajra
West Bengal,2020,70.0,30.0,0.43,bajra
West Bengal,2021,72.0,31.0,0.43,bajra
West Bengal,2022,70.0,30.0,0.43,bajra
